,obj_type,vpid,id,bnf_code,dmd_name,bnf_name,form_route
20,amp,329807003,80711000001101,1001010P0AAAEAE,Naproxen 500mg tablets (Sterwin Medicines),Naproxen 500mg tablets,tablet.oral
21,amp,329807003,161211000001108,1001010P0AAAEAE,Naproxen 500mg tablets (Actavis UK Ltd),Naproxen 500mg tablets,tablet.oral
22,amp,329807003,220511000001107,1001010P0AAAEAE,Naproxen 500mg tablets (Teva UK Ltd),Naproxen 500mg tablets,tablet.oral
23,amp,329807003,377711000001106,1001010P0AAAEAE,Naproxen 500mg tablets (Kent Pharmaceuticals Ltd),Naproxen 500mg tablets,tablet.oral
24,amp,329807003,396811000001107,1001010P0AAAEAE,Naproxen 500mg tablets (A A H Pharmaceuticals Ltd),Naproxen 500mg tablets,tablet.oral
25,amp,329807003,408811000001100,1001010P0AAAEAE,Naproxen 500mg tablets (IVAX Pharmaceuticals UK Ltd),Naproxen 500mg tablets,tablet.oral
26,amp,329807003,447511000001108,1001010P0AAAEAE,Naproxen 500mg tablets (Mylan),Naproxen 500mg tablets,tablet.oral
27,amp,329807003,481611000001108,1001010P0AAAEAE,Naproxen 500mg tablets (Wockhardt UK Ltd),Naproxen 500mg tablets,tablet.oral
28,amp,329807003,521011000001101,1001010P0AAAEAE,Naproxen 500mg tablets (Alliance Healthcare (Distribution) Ltd),Naproxen 500mg tablets,tablet.oral
29,amp,329807003,3224611000001107,1001010P0AAAEAE,Naproxen 500mg tablets (Pfizer Ltd),Naproxen 500mg tablets,tablet.oral
30,amp,329807003,10396811000001104,1001010P0AAAEAE,Naproxen 500mg tablets (Arrow Generics Ltd),Naproxen 500mg tablets,tablet.oral
31,amp,329807003,13846111000001100,1001010P0AAAEAE,Naproxen 500mg tablets (Almus Pharmaceuticals Ltd),Naproxen 500mg tablets,tablet.oral
32,amp,329807003,18464911000001107,1001010P0AAAEAE,Naproxen 500mg tablets (Accord Healthcare Ltd),Naproxen 500mg tablets,tablet.oral
33,amp,329807003,18627211000001104,1001010P0AAAEAE,Naproxen 500mg tablets (Phoenix Healthcare Distribution Ltd),Naproxen 500mg tablets,tablet.oral
34,amp,329807003,19195611000001101,1001010P0AAAEAE,Naproxen 500mg tablets (Milpharm Ltd),Naproxen 500mg tablets,tablet.oral
35,amp,329807003,21818311000001103,1001010P0AAAEAE,Naproxen 500mg tablets (Waymade Healthcare Plc),Naproxen 500mg tablets,tablet.oral
