,obj_type,vpid,id,bnf_code,dmd_name,bnf_name,form_route
0,amp,329806007,60511000001108,1001010P0AAADAD,Naproxen 250mg tablets (Alliance Healthcare (Distribution) Ltd),Naproxen 250mg tablets,tablet.oral
1,amp,329806007,86111000001104,1001010P0AAADAD,Naproxen 250mg tablets (Actavis UK Ltd),Naproxen 250mg tablets,tablet.oral
2,amp,329806007,150011000001103,1001010P0AAADAD,Naproxen 250mg tablets (IVAX Pharmaceuticals UK Ltd),Naproxen 250mg tablets,tablet.oral
3,amp,329806007,360911000001103,1001010P0AAADAD,Naproxen 250mg tablets (Teva UK Ltd),Naproxen 250mg tablets,tablet.oral
4,amp,329806007,521711000001104,1001010P0AAADAD,Naproxen 250mg tablets (Wockhardt UK Ltd),Naproxen 250mg tablets,tablet.oral
5,amp,329806007,630611000001105,1001010P0AAADAD,Naproxen 250mg tablets (Mylan),Naproxen 250mg tablets,tablet.oral
6,amp,329806007,774811000001106,1001010P0AAADAD,Naproxen 250mg tablets (Kent Pharmaceuticals Ltd),Naproxen 250mg tablets,tablet.oral
7,amp,329806007,889911000001109,1001010P0AAADAD,Naproxen 250mg tablets (A A H Pharmaceuticals Ltd),Naproxen 250mg tablets,tablet.oral
8,amp,329806007,10396611000001103,1001010P0AAADAD,Naproxen 250mg tablets (Arrow Generics Ltd),Naproxen 250mg tablets,tablet.oral
9,amp,329806007,13581711000001101,1001010P0AAADAD,Naproxen 250mg tablets (DE Pharmaceuticals),Naproxen 250mg tablets,tablet.oral
10,amp,329806007,13845911000001109,1001010P0AAADAD,Naproxen 250mg tablets (Almus Pharmaceuticals Ltd),Naproxen 250mg tablets,tablet.oral
11,amp,329806007,18464611000001101,1001010P0AAADAD,Naproxen 250mg tablets (Accord Healthcare Ltd),Naproxen 250mg tablets,tablet.oral
12,amp,329806007,18627511000001101,1001010P0AAADAD,Naproxen 250mg tablets (Phoenix Healthcare Distribution Ltd),Naproxen 250mg tablets,tablet.oral
13,amp,329806007,19195411000001104,1001010P0AAADAD,Naproxen 250mg tablets (Milpharm Ltd),Naproxen 250mg tablets,tablet.oral
14,amp,329806007,21818111000001100,1001010P0AAADAD,Naproxen 250mg tablets (Waymade Healthcare Plc),Naproxen 250mg tablets,tablet.oral
15,amp,329806007,28985211000001102,1001010P0AAADAD,Naproxen 250mg tablets (Crescent Pharma Ltd),Naproxen 250mg tablets,tablet.oral
16,amp,329806007,29928511000001100,1001010P0AAADAD,Naproxen 250mg tablets (Sigma Pharmaceuticals Plc),Naproxen 250mg tablets,tablet.oral
17,amp,329806007,30849711000001108,1001010P0AAADAD,Naproxen 250mg tablets (Mawdsley-Brooks & Company Ltd),Naproxen 250mg tablets,tablet.oral
18,amp,329806007,36011911000001106,1001010P0AAADAD,Naproxen 250mg tablets (Genesis Pharmaceuticals Ltd),Naproxen 250mg tablets,tablet.oral
19,amp,329806007,36597211000001105,1001010P0AAADAD,Naproxen 250mg tablets (Bristol Laboratories Ltd),Naproxen 250mg tablets,tablet.oral
44,amp,329838002,129111000001106,1001010P0AAAHAH,Naproxen 250mg gastro-resistant tablets (Accord Healthcare Ltd),Naproxen 250mg gastro-resistant tablets,tabletgastro-resistant.oral
45,amp,329838002,367911000001102,1001010P0AAAHAH,Naproxen 250mg gastro-resistant tablets (A A H Pharmaceuticals Ltd),Naproxen 250mg gastro-resistant tablets,tabletgastro-resistant.oral
46,amp,329838002,547811000001102,1001010P0AAAHAH,Naproxen 250mg gastro-resistant tablets (Alliance Healthcare (Distribution) Ltd),Naproxen 250mg gastro-resistant tablets,tabletgastro-resistant.oral
47,amp,329838002,579011000001103,1001010P0AAAHAH,Naproxen 250mg gastro-resistant tablets (Sandoz Ltd),Naproxen 250mg gastro-resistant tablets,tabletgastro-resistant.oral
48,amp,329838002,603311000001104,1001010P0AAAHAH,Naproxen 250mg gastro-resistant tablets (Teva UK Ltd),Naproxen 250mg gastro-resistant tablets,tabletgastro-resistant.oral
49,amp,329838002,687211000001104,1001010P0AAAHAH,Naproxen 250mg gastro-resistant tablets (Mylan),Naproxen 250mg gastro-resistant tablets,tabletgastro-resistant.oral
50,amp,329838002,764211000001103,1001010P0AAAHAH,Naproxen 250mg gastro-resistant tablets (IVAX Pharmaceuticals UK Ltd),Naproxen 250mg gastro-resistant tablets,tabletgastro-resistant.oral
51,amp,329838002,5474911000001107,1001010P0AAAHAH,Naproxen 250mg gastro-resistant tablets (Kent Pharmaceuticals Ltd),Naproxen 250mg gastro-resistant tablets,tabletgastro-resistant.oral
52,amp,329838002,11426611000001106,1001010P0AAAHAH,Naproxen 250mg gastro-resistant tablets (Almus Pharmaceuticals Ltd),Naproxen 250mg gastro-resistant tablets,tabletgastro-resistant.oral
53,amp,329838002,16212811000001102,1001010P0AAAHAH,Naproxen 250mg gastro-resistant tablets (Ranbaxy (UK) Ltd),Naproxen 250mg gastro-resistant tablets,tabletgastro-resistant.oral
54,amp,329838002,17945511000001103,1001010P0AAAHAH,Naproxen 250mg gastro-resistant tablets (Phoenix Healthcare Distribution Ltd),Naproxen 250mg gastro-resistant tablets,tabletgastro-resistant.oral
55,amp,329838002,20325711000001106,1001010P0AAAHAH,Naproxen 250mg gastro-resistant tablets (Genesis Pharmaceuticals Ltd),Naproxen 250mg gastro-resistant tablets,tabletgastro-resistant.oral
56,amp,329838002,21817711000001100,1001010P0AAAHAH,Naproxen 250mg gastro-resistant tablets (Waymade Healthcare Plc),Naproxen 250mg gastro-resistant tablets,tabletgastro-resistant.oral
57,amp,329838002,29928311000001106,1001010P0AAAHAH,Naproxen 250mg gastro-resistant tablets (Sigma Pharmaceuticals Plc),Naproxen 250mg gastro-resistant tablets,tabletgastro-resistant.oral
58,amp,329838002,30062411000001101,1001010P0AAAHAH,Naproxen 250mg gastro-resistant tablets (DE Pharmaceuticals),Naproxen 250mg gastro-resistant tablets,tabletgastro-resistant.oral
59,amp,329838002,36782111000001103,1001010P0AAAHAH,Naproxen 250mg gastro-resistant tablets (Sovereign Medical Ltd),Naproxen 250mg gastro-resistant tablets,tabletgastro-resistant.oral
60,amp,329838002,37122511000001106,1001010P0AAAHAH,Naproxen 250mg gastro-resistant tablets (Mawdsley-Brooks & Company Ltd),Naproxen 250mg gastro-resistant tablets,tabletgastro-resistant.oral
61,amp,329838002,37999211000001105,1001010P0AAAHAH,Naproxen 250mg gastro-resistant tablets (Medreich Plc),Naproxen 250mg gastro-resistant tablets,tabletgastro-resistant.oral
101,amp,329806007,894311000001106,1001010P0BCAAAD,Naprosyn 250mg tablets (Atnahs Pharma UK Ltd),Naprosyn 250mg tablets,tablet.oral
103,amp,329838002,178811000001105,1001010P0BCAGAH,Naprosyn EC 250mg tablets (Atnahs Pharma UK Ltd),Naprosyn EC 250mg tablets,tabletgastro-resistant.oral
107,amp,329838002,15512111000001104,1001010P0BSAAAH,Feminax Ultra 250mg gastro-resistant tablets (Bayer Plc),Feminax Ultra 250mg gastro-resistant tablets,tabletgastro-resistant.oral
109,amp,31306711000001103,31279811000001102,1001010P0BXAABD,Stirlescent 250mg effervescent tablets (Stirling Anglian Pharmaceuticals Ltd),Stirlescent 250mg effervescent tablets,solution.oral
110,amp,329838002,36736411000001102,1001010P0BYAAAH,Nexocin EC 250mg gastro-resistant tablets (Noumed Life Sciences Ltd),Nexocin EC 250mg gastro-resistant tablets,tabletgastro-resistant.oral
112,vmp,329806007,329806007,1001010P0AAADAD,Naproxen 250mg tablets,Naproxen 250mg tablets,tablet.oral
114,vmp,329838002,329838002,1001010P0AAAHAH,Naproxen 250mg gastro-resistant tablets,Naproxen 250mg gastro-resistant tablets,tabletgastro-resistant.oral
124,vmp,31306711000001103,31306711000001103,1001010P0AABDBD,Naproxen 250mg effervescent tablets sugar free,Naproxen 250mg effervescent tablets sugar free,solution.oral
