obj_type,vpid,snomed_id,bnf_code,dmd_name,bnf_name,form_route
amp,330170001,28001111000001101,1001010AHAAAAAA,Celecoxib 100mg capsules (Teva UK Ltd),Celecoxib 100mg capsules,capsule.oral
amp,330170001,28011711000001103,1001010AHAAAAAA,Celecoxib 100mg capsules (Upjohn UK Ltd),Celecoxib 100mg capsules,capsule.oral
amp,330170001,28039011000001105,1001010AHAAAAAA,Celecoxib 100mg capsules (Alliance Healthcare (Distribution) Ltd),Celecoxib 100mg capsules,capsule.oral
amp,330170001,28292711000001100,1001010AHAAAAAA,Celecoxib 100mg capsules (Zentiva),Celecoxib 100mg capsules,capsule.oral
amp,330170001,28378211000001108,1001010AHAAAAAA,Celecoxib 100mg capsules (Actavis UK Ltd),Celecoxib 100mg capsules,capsule.oral
amp,330170001,28378611000001105,1001010AHAAAAAA,Celecoxib 100mg capsules (A A H Pharmaceuticals Ltd),Celecoxib 100mg capsules,capsule.oral
amp,330170001,29784511000001108,1001010AHAAAAAA,Celecoxib 100mg capsules (Sigma Pharmaceuticals Plc),Celecoxib 100mg capsules,capsule.oral
amp,330170001,30011211000001106,1001010AHAAAAAA,Celecoxib 100mg capsules (Mawdsley-Brooks & Company Ltd),Celecoxib 100mg capsules,capsule.oral
amp,330170001,30136411000001104,1001010AHAAAAAA,Celecoxib 100mg capsules (DE Pharmaceuticals),Celecoxib 100mg capsules,capsule.oral
amp,330170001,32397411000001105,1001010AHAAAAAA,Celecoxib 100mg capsules (Kent Pharmaceuticals Ltd),Celecoxib 100mg capsules,capsule.oral
amp,330170001,32496211000001102,1001010AHAAAAAA,Celecoxib 100mg capsules (Brown & Burk UK Ltd),Celecoxib 100mg capsules,capsule.oral
amp,330170001,33588711000001109,1001010AHAAAAAA,Celecoxib 100mg capsules (Mylan),Celecoxib 100mg capsules,capsule.oral
amp,330170001,35140711000001104,1001010AHAAAAAA,Celecoxib 100mg capsules (Milpharm Ltd),Celecoxib 100mg capsules,capsule.oral
amp,330170001,35906711000001107,1001010AHAAAAAA,Celecoxib 100mg capsules (Consilient Health Ltd),Celecoxib 100mg capsules,capsule.oral
amp,330170001,36751811000001106,1001010AHAAAAAA,Celecoxib 100mg capsules (Macleods Pharma UK Ltd),Celecoxib 100mg capsules,capsule.oral
amp,330170001,36859211000001109,1001010AHAAAAAA,Celecoxib 100mg capsules (Torrent Pharma (UK) Ltd),Celecoxib 100mg capsules,capsule.oral
amp,330170001,37893811000001100,1001010AHAAAAAA,Celecoxib 100mg capsules (Dawa Ltd),Celecoxib 100mg capsules,capsule.oral
amp,330169002,28000911000001105,1001010AHAAABAB,Celecoxib 200mg capsules (Teva UK Ltd),Celecoxib 200mg capsules,capsule.oral
amp,330169002,28011911000001101,1001010AHAAABAB,Celecoxib 200mg capsules (Upjohn UK Ltd),Celecoxib 200mg capsules,capsule.oral
amp,330169002,28039211000001100,1001010AHAAABAB,Celecoxib 200mg capsules (Alliance Healthcare (Distribution) Ltd),Celecoxib 200mg capsules,capsule.oral
amp,330169002,28292911000001103,1001010AHAAABAB,Celecoxib 200mg capsules (Zentiva),Celecoxib 200mg capsules,capsule.oral
amp,330169002,28378411000001107,1001010AHAAABAB,Celecoxib 200mg capsules (Actavis UK Ltd),Celecoxib 200mg capsules,capsule.oral
amp,330169002,28378811000001109,1001010AHAAABAB,Celecoxib 200mg capsules (A A H Pharmaceuticals Ltd),Celecoxib 200mg capsules,capsule.oral
amp,330169002,29784111000001104,1001010AHAAABAB,Celecoxib 200mg capsules (Sigma Pharmaceuticals Plc),Celecoxib 200mg capsules,capsule.oral
amp,330169002,30011411000001105,1001010AHAAABAB,Celecoxib 200mg capsules (Mawdsley-Brooks & Company Ltd),Celecoxib 200mg capsules,capsule.oral
amp,330169002,30136611000001101,1001010AHAAABAB,Celecoxib 200mg capsules (DE Pharmaceuticals),Celecoxib 200mg capsules,capsule.oral
amp,330169002,32496411000001103,1001010AHAAABAB,Celecoxib 200mg capsules (Brown & Burk UK Ltd),Celecoxib 200mg capsules,capsule.oral
amp,330169002,33588911000001106,1001010AHAAABAB,Celecoxib 200mg capsules (Mylan),Celecoxib 200mg capsules,capsule.oral
amp,330169002,34584911000001102,1001010AHAAABAB,Celecoxib 200mg capsules (Milpharm Ltd),Celecoxib 200mg capsules,capsule.oral
amp,330169002,35906911000001109,1001010AHAAABAB,Celecoxib 200mg capsules (Consilient Health Ltd),Celecoxib 200mg capsules,capsule.oral
amp,330169002,36741411000001107,1001010AHAAABAB,Celecoxib 200mg capsules (Macleods Pharma UK Ltd),Celecoxib 200mg capsules,capsule.oral
amp,330169002,36859611000001106,1001010AHAAABAB,Celecoxib 200mg capsules (Torrent Pharma (UK) Ltd),Celecoxib 200mg capsules,capsule.oral
amp,330169002,37894011000001108,1001010AHAAABAB,Celecoxib 200mg capsules (Dawa Ltd),Celecoxib 200mg capsules,capsule.oral
amp,35573711000001100,35571511000001106,1001010AHAAAEAE,Celecoxib 50mg/5ml oral suspension (Special Order),Celecoxib 50mg/5ml oral suspension,suspension.oral
amp,330170001,18711000001102,1001010AHBBAAAA,Celebrex 100mg capsules (Upjohn UK Ltd),Celebrex 100mg capsules,capsule.oral
amp,330169002,878111000001108,1001010AHBBABAB,Celebrex 200mg capsules (Upjohn UK Ltd),Celebrex 200mg capsules,capsule.oral
amp,425685004,17302511000001107,1001010AHBCAAAD,Onsenal 400mg capsules (Pfizer Ltd),Onsenal 400mg capsules,capsule.oral
amp,407907003,34618311000001101,1001010AJAAAAAA,Etoricoxib 60mg tablets (Teva UK Ltd),Etoricoxib 60mg tablets,tablet.oral
amp,407907003,34620411000001101,1001010AJAAAAAA,Etoricoxib 60mg tablets (Aspire Pharma Ltd),Etoricoxib 60mg tablets,tablet.oral
